ticker,sector,market_cap,bucket,effective_bucket,distress_type,verdict,status,api_distress,api_fraud,api_high_short,api_recent_raise,short_dtc,effective_reason,note,logic_version,last_processed_utc
BDSX,Health Care,160100800.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,1.35,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
FGBI,Financials,160032496.0,WATCH,WATCH,,AGREE,done,0,0,0,1,5.63,," | RAISE:First Guaranty Bancshares, Inc. Announces Private Placement",v1-2026-06-09,2026-06-09T16:04:40Z
TUSK,Energy,159926544.0,WATCH,WATCH,,AGREE,done,0,0,0,0,1.68,,,v1-2026-06-09,2026-06-09T16:04:40Z
LKSP,Financials,158973472.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
VERI,Information Technology,158952032.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,3.43,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
ECBK,Financials,158884560.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,17.56,,,v1-2026-06-09,2026-06-09T16:04:40Z
ZJK,Unknown,158875952.0,CLEAR,CLEAR,,AGREE,done,0,0,0,1,1.0,," | RAISE:ZJK Industrial Co., Ltd. Announces Closing of Initial Public Offering",v1-2026-06-09,2026-06-09T16:04:40Z
SMID,Materials,158719024.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,18.27,,,v1-2026-06-09,2026-06-09T16:04:40Z
AMTX,Materials,158324576.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,2.39,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
PRQR,Unknown,158043824.0,AVOID,WATCH,cash_burn,OVERFLAG_recent_raise,done,0,0,0,1,1.75,downgraded from AVOID — recent capital raise extends runway / no event found,recent capital raise extends runway | RAISE:ProQR Announces Closing of Underwritten Public Offering and Concurrent Private Placement,v1-2026-06-09,2026-06-09T16:04:40Z
TNYA,Health Care,157996880.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
TLSA,Unknown,157801312.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
SHIM,Industrials,157796720.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,1,1.0,,no API distress/short signal (coverage may be thin) | RAISE:Shimmick Corporation Announces Pricing of Initial Public Offering,v1-2026-06-09,2026-06-09T16:04:40Z
EPM,Energy,157614192.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.79,,,v1-2026-06-09,2026-06-09T16:04:40Z
TTRX,Health Care,157280864.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
SPEG,Financials,157166656.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
NRDY,Consumer Discretionary,157086880.0,WATCH,WATCH,,AGREE,done,0,0,1,0,21.76,,,v1-2026-06-09,2026-06-09T16:04:40Z
BRR,Unknown,156692192.0,SKIP_no_data,,,SKIP,skip,,,,,,,no cached fundamentals/context,v1-2026-06-09,2026-06-09T16:04:40Z
TLYS,Consumer Discretionary,156405600.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,2.97,,,v1-2026-06-09,2026-06-09T16:04:40Z
EGG,Industrials,155933120.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
GPRO,Information Technology,155714688.0,WATCH,WATCH,,AGREE,done,0,0,0,0,2.14,,,v1-2026-06-09,2026-06-09T16:04:40Z
RGP,Industrials,155511936.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,7.51,,,v1-2026-06-09,2026-06-09T16:04:40Z
QTRX,Health Care,155449728.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,2.96,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
ABOS,Health Care,155289312.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
SLQT,Financials,155044960.0,WATCH,WATCH,,AGREE,done,0,0,0,0,1.09,,,v1-2026-06-09,2026-06-09T16:04:40Z
MRDN,Information Technology,154992112.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.14,,,v1-2026-06-09,2026-06-09T16:04:40Z
MRT,Consumer Discretionary,154698816.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,4.93,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
KRRO,Health Care,154609968.0,AVOID,AVOID,cash_burn,CORROBORATED,done,0,0,1,1,11.45,API event/short-interest confirms the fundamentals AVOID,API distress/short-interest confirms | RAISE:Korro Announces $70 Million Private Placement,v1-2026-06-09,2026-06-09T16:04:40Z
INVZ,Unknown,154092400.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,5.08,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
BZUN,Unknown,154040240.0,SKIP_no_data,,,SKIP,skip,,,,,,,no cached fundamentals/context,v1-2026-06-09,2026-06-09T16:04:40Z
DOMO,Information Technology,153963424.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,5.53,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
